iter	Passed	Remaining
402	12010	43871
403	12040	43841
404	12069	43809
405	12099	43778
406	12128	43745
407	12157	43714
408	12187	43683
409	12216	43653
410	12246	43622
411	12275	43589
412	12304	43558
413	12335	43530
414	12365	43501
415	12393	43468
416	12423	43436
417	12452	43406
418	12483	43378
419	12513	43350
420	12543	43319
421	12573	43293
422	12603	43261
423	12633	43232
424	12662	43202
425	12692	43171
426	12721	43140
427	12751	43110
428	12781	43082
429	12812	43056
430	12843	43029
431	12872	42996
432	12901	42966
433	12947	42988
434	12977	42961
435	13007	42931
436	13037	42901
437	13067	42871
438	13097	42843
439	13127	42812
440	13156	42781
441	13185	42748
442	13215	42717
443	13245	42688
444	13274	42657
445	13303	42624
446	13332	42590
447	13362	42563
448	13391	42531
449	13420	42498
450	13449	42466
451	13479	42437
452	13510	42409
453	13539	42377
454	13569	42347
455	13598	42316
456	13629	42288
457	13658	42257
458	13688	42229
459	13718	42198
460	13748	42170
461	13778	42139
462	13806	42106
463	13836	42076
464	13865	42042
465	13895	42014
466	13925	41984
467	13956	41958
468	13986	41929
469	14015	41895
470	14044	41866
471	14074	41836
472	14104	41805
473	14132	41772
474	14163	41744
475	14192	41714
476	14223	41686
477	14253	41656
478	14282	41625
479	14311	41594
480	14340	41561
481	14370	41532
482	14404	41513
483	14434	41483
484	14463	41453
485	14493	41423
486	14523	41392
487	14553	41363
488	14583	41334
489	14612	41303
490	14643	41275
491	14673	41246
492	14702	41215
493	14732	41185
494	14760	41151
495	14790	41119
496	14820	41091
497	14849	41060
498	14878	41027
499	14907	40995
500	14937	40965
501	14968	40939
502	14997	40906
503	15026	40875
504	15056	40846
505	15085	40814
506	15115	40783
507	15144	40752
508	15174	40722
509	15203	40692
510	15232	40660
511	15262	40630
512	15292	40600
513	15322	40571
514	15354	40546
515	15383	40515
516	15412	40483
517	15441	40450
518	15471	40423
519	15502	40396
520	15532	40367
521	15561	40335
522	15590	40303
523	15620	40274
524	15650	40244
525	15682	40219
526	15714	40196
527	15745	40168
528	15774	40137
529	15803	40105
530	15832	40074
531	15862	40042
532	15890	40009
533	15919	39976
534	15948	39946
535	15979	39918
536	16008	39887
537	16038	39857
538	16067	39825
539	16097	39796
540	16127	39767
541	16155	39732
542	16183	39699
543	16215	39673
544	16245	39645
545	16275	39615
546	16303	39581
547	16333	39551
548	16363	39521
549	16391	39489
550	16420	39457
551	16449	39425
552	16480	39398
553	16510	39368
554	16541	39341
555	16571	39311
556	16600	39281
557	16629	39250
558	16660	39222
559	16690	39193
560	16720	39163
561	16751	39136
562	16781	39108
563	16811	39078
564	16842	39051
565	16871	39020
566	16901	38990
567	16931	38960
568	16962	38933
569	16992	38903
570	17023	38877
571	17053	38846
572	17083	38816
573	17112	38785
574	17142	38755
575	17171	38724
576	17202	38697
577	17230	38665
578	17260	38635
579	17291	38606
580	17320	38576
581	17350	38546
582	17379	38514
583	17408	38483
584	17439	38457
585	17468	38425
586	17498	38395
587	17527	38363
588	17556	38333
589	17586	38302
590	17615	38271
591	17645	38242
592	17676	38213
593	17705	38182
594	17734	38152
595	17764	38122
596	17792	38089
597	17823	38061
598	17852	38029
599	17882	37999
600	17910	37967
601	17939	37935
602	17969	37905
603	17998	37873
604	18026	37840
605	18055	37810
606	18086	37781
607	18116	37753
608	18147	37724
609	18175	37691
610	18219	37691
611	18249	37660
612	18277	37628
613	18306	37597
614	18336	37567
615	18365	37535
616	18394	37504
617	18423	37472
618	18454	37445
619	18483	37413
620	18513	37384
621	18542	37352
622	18571	37321
623	18602	37295
624	18634	37268
625	18663	37237
626	18692	37207
627	18722	37176
628	18752	37146
629	18782	37117
630	18811	37086
631	18841	37057
632	18870	37025
633	18899	36994
634	18929	36965
635	18958	36933
636	18988	36904
637	19017	36873
638	19046	36841
639	19076	36810
640	19105	36781
641	19135	36749
642	19164	36719
643	19194	36689
644	19224	36659
645	19253	36628
646	19281	36596
647	19310	36565
648	19340	36534
649	19371	36506
650	19400	36475
651	19429	36445
652	19459	36415
653	19488	36384
654	19522	36363
655	19552	36332
656	19580	36300
657	19609	36269
658	19640	36241
659	19670	36211
660	19700	36182
661	19730	36152
662	19760	36122
663	19789	36091
664	19818	36061
665	19848	36032
666	19878	36001
667	19907	35969
668	19937	35941
669	19966	35910
670	19996	35880
671	20026	35851
672	20056	35821
673	20086	35792
674	20116	35762
675	20145	35731
676	20175	35702
677	20205	35672
678	20234	35642
679	20263	35610
680	20294	35581
681	20324	35552
682	20353	35521
683	20383	35492
684	20413	35462
685	20443	35433
686	20474	35405
687	20503	35374
688	20532	35343
689	20562	35313
690	20593	35286
691	20622	35255
692	20651	35223
693	20680	35193
694	20710	35163
695	20741	35135
696	20771	35105
697	20802	35078
698	20832	35049
699	20861	35017
700	20890	34986
701	20920	34956
702	20949	34926
703	20979	34896
704	21009	34867
705	21039	34837
706	21069	34807
707	21099	34778
708	21128	34747
709	21158	34718
710	21187	34686
711	21218	34658
712	21248	34629
713	21277	34598
714	21307	34568
715	21337	34539
716	21367	34509
717	21396	34478
718	21426	34449
719	21456	34419
720	21487	34391
721	21516	34360
722	21546	34331
723	21576	34301
724	21605	34271
725	21636	34242
726	21665	34211
727	21694	34180
728	21723	34149
