iter	Logloss
0	0.5627633958
1	0.4836831693
2	0.4172228468
3	0.3702824522
4	0.3266663914
5	0.2970192834
6	0.2755856288
7	0.2540558348
8	0.2356725274
9	0.2213767675
10	0.220221009
11	0.2127640725
12	0.2065083395
13	0.196697299
14	0.192018005
15	0.1860683093
16	0.1800140853
17	0.175705624
18	0.1713530222
19	0.1668231483
20	0.1633107418
21	0.1627174697
22	0.1578714791
23	0.1563917446
24	0.154491331
25	0.1526095799
26	0.150131364
27	0.1483874735
28	0.1463661717
29	0.1440851702
30	0.140788213
31	0.1354226607
32	0.1314074527
33	0.1283845198
34	0.127485477
35	0.1251653907
36	0.1235620757
37	0.1221127922
38	0.1209923813
39	0.1192508931
40	0.1179806211
41	0.1163664399
42	0.1157807634
43	0.1152566784
44	0.1146746165
45	0.1124693234
46	0.112467375
47	0.1116565619
48	0.108311219
49	0.1056230034
50	0.1043173228
51	0.1024218456
52	0.09901785092
53	0.09688054991
54	0.09469457865
55	0.09408524452
56	0.09185522688
57	0.08980486696
58	0.08899646768
59	0.08743987426
60	0.08580355034
61	0.08457035186
62	0.0833452336
63	0.08198600532
64	0.08150627346
65	0.08057198631
66	0.07930681951
67	0.07824159742
68	0.07717876414
69	0.07584210634
70	0.0751156101
71	0.07426175182
72	0.07330257813
73	0.07255624144
74	0.07164209527
75	0.07081452341
76	0.07054256672
77	0.07011561553
78	0.07011356119
79	0.06936559609
80	0.06875668247
81	0.06790114237
82	0.06760865343
83	0.066433876
84	0.06571382513
85	0.06446809232
86	0.06331950471
87	0.06251574385
88	0.06225769119
89	0.06019463091
90	0.0597653185
91	0.05946493273
92	0.05857446406
93	0.05735993441
94	0.05560047529
95	0.05559992206
96	0.05474450042
97	0.05351606479
98	0.05308533103
99	0.05177197812
100	0.05159397118
101	0.05085489588
102	0.05054513861
103	0.04964451868
104	0.04944713957
105	0.04917052969
106	0.04901654305
107	0.04834585062
108	0.04743572749
109	0.04711229796
110	0.04704578963
111	0.04698337368
112	0.04643617268
113	0.04591568603
114	0.04584725728
115	0.04534139824
116	0.04481200836
117	0.04451594047
118	0.04435824924
119	0.04404086638
120	0.04378626201
121	0.04368830203
122	0.0429897567
123	0.04274914222
124	0.04259637884
125	0.04168658986
126	0.04118213061
127	0.04047495259
128	0.04036224954
129	0.03978193407
130	0.0396818761
131	0.03919238938
132	0.03800393256
133	0.03773294698
134	0.03723048273
135	0.03713109109
136	0.03646732065
137	0.0361290986
138	0.03559677326
139	0.03525688311
140	0.03515819286
141	0.03481309027
142	0.03419298061
143	0.03390572786
144	0.03356827447
145	0.0333396352
146	0.0328870728
147	0.03253262568
148	0.03213901938
149	0.03198014482
150	0.03149586399
151	0.03112073937
152	0.03087546249
153	0.03059177045
154	0.03015173921
155	0.02957280882
156	0.02909988806
157	0.02871147848
158	0.02829422614
159	0.02797049991
160	0.02744709447
161	0.0269433584
162	0.02666616005
163	0.02618512063
164	0.0256039202
165	0.02543874131
166	0.02501207666
